citing_id,citing_publication_date,cited_id,cited_publication_date
10.31234/osf.io/z2x9a,,10.1016/j.jenvp.2019.02.001,
10.31234/osf.io/z2x9a,,10.5964/jspp.v5i1.732 ,
10.31234/osf.io/z2x9a,,10.31234/osf.io/fgb84,
10.31234/osf.io/z2x9a,,10.2139/ssrn.3272468 ,
10.31234/osf.io/z2x9a,,10.1080/00273171.2015.1134306,
10.31234/osf.io/z2x9a,,10.1037/met0000093 ,
10.31234/osf.io/z2x9a,,10.18637/jss.v048.i02 ,
10.31234/osf.io/z2x9a,,10.5964/jspp.v7i1.964 ,
10.31234/osf.io/z2x9a,,10.3200/joer.99.6.323-338 ,
10.31234/osf.io/2p57j,,10.1007/s10608-006-9058-1,
10.31234/osf.io/2p57j,,10.1016/j.janxdis.2020.102196,
10.31234/osf.io/2p57j,,10.1002/jclp.21965,
10.31234/osf.io/2p57j,,10.1016/j.janxdis.2006.03.014,
10.31234/osf.io/2p57j,,10.1016/j.aap.2008.11.006,
10.31234/osf.io/2p57j,,10.1177/001316446002000104,
10.31234/osf.io/2p57j,,10.1016/j.brat.2008.01.010,
10.31234/osf.io/2p57j,,10.1016/j.beth.2014.12.006,
10.31234/osf.io/2p57j,,10.1037/hea0000875,
10.31234/osf.io/2p57j,,10.1073/pnas.1316265110,
10.31234/osf.io/2p57j,,10.1037/10546-004 ,
10.31234/osf.io/2p57j,,10.1016/j.biopsycho.2005.11.004,
10.31234/osf.io/2p57j,,10.1136/bmj.m236 ,
10.31234/osf.io/2p57j,,10.1016/j.biopsycho.2018.07.002,
10.31234/osf.io/2p57j,,10.1016/0005-7967(90)90135-6 ,
10.31234/osf.io/2p57j,,10.1007/s10567-010-0064-1,
10.31234/osf.io/2p57j,,10.1016/j.brat.2011.07.008 ,
10.31234/osf.io/2p57j,,10.1080/17437199.2012.703527,
10.31219/osf.io/8w62r,,10.1007/s12519-020-00353-5,
10.31219/osf.io/8w62r,,10.1186/1471-2164-15-1161,
10.35542/osf.io/9urcd,,10.1037/e302992003-001,
10.35542/osf.io/9urcd,,10.2196/12515 ,
10.35542/osf.io/9urcd,,10.1089/tmj.2018.0140,
10.35542/osf.io/9urcd,,10.3389/fpsyt.2020.00117 ,
10.35542/osf.io/9urcd,,10.1002/14651858.cd012659.pub2 ,
10.35542/osf.io/9urcd,,10.2196/ijmr.6214,
10.31219/osf.io/3wx5a,,10.1093/heapro/11.1.11,
10.31219/osf.io/3wx5a,,10.1021/es903183r,
10.31219/osf.io/3wx5a,,10.1177/2053019619856672,
10.31219/osf.io/3wx5a,,10.1177/0042098012472744,
10.31219/osf.io/3wx5a,,10.5751/ES04079160227,
10.31219/osf.io/3wx5a,,10.1016/S01406736(20)304608,
10.31219/osf.io/3wx5a,,10.1016/j.apgeog.2013.11.004,
10.31219/osf.io/3wx5a,,10.1016/j.jrp.2005.11.007,
10.31219/osf.io/3wx5a,,10.1037/a0017216,
10.31219/osf.io/2zuea,,10.1016/j.bbrc.2018.02.086,
10.31219/osf.io/2zuea,,10.1016/j.antiviral.2014.12.015,
10.31219/osf.io/2zuea,,10.1107/s0907444913007051,
10.31219/osf.io/2zuea,,10.1016/j.jmb.2017.04.011,
10.31219/osf.io/2zuea,,10.1073/pnas.1310744110,
10.31219/osf.io/2zuea,,10.1038/nrmicro.2016.81,
10.31235/osf.io/uf3zn,,10.1145/3137597.3137600,
10.31235/osf.io/uf3zn,,10.31234/osf.io/dz5v2,
10.31235/osf.io/uf3zn,,10.1089/tmj.2006.12.466,
10.31219/osf.io/pagmf,,10.1016/s0140-6736(20)30251-8,
10.31219/osf.io/pagmf,,10.1080/22221751.2020.1719902 ,
10.31219/osf.io/pagmf,,10.1021/acscentsci.0c00272Â ,
10.31219/osf.io/pagmf,,10.1101/2020.02.11.944462 ,
10.31219/osf.io/pagmf,,10.1101/2020.02.20.20025999,
10.31219/osf.io/f3xzq,,10.1001/jamanetworkopen.2020.5619 ,
10.31219/osf.io/f3xzq,,10.1136/bmj.m313 ,
10.31219/osf.io/f3xzq,,10.1016/s0140-6736(20)30460-8 ,
10.31219/osf.io/f3xzq,,10.1016/s2215-0366(20)30046-8 ,
10.31219/osf.io/f3xzq,,10.1016/s2215-0366(20)30047-x ,
10.31219/osf.io/f3xzq,,10.1016/s0140-6736(20)30547-x ,
10.31219/osf.io/f3xzq,,10.1111/nyas.12998 ,
10.31219/osf.io/f3xzq,,10.1001/jamainternmed.2013.13018 ,
10.31219/osf.io/f3xzq,,10.1200/jco.2015.65.7874 ,
10.31219/osf.io/f3xzq,,10.1016/j.tem.2020.01.012 ,
10.31219/osf.io/f3xzq,,10.3389/fimmu.2017.00670 ,
10.31219/osf.io/f3xzq,,10.1016/s0140-6736(20)30211-7 ,
10.31219/osf.io/f2eka,,10.3390/v2081803 ,
10.31219/osf.io/f2eka,,10.1128/jvi.03488-13 ,
10.31219/osf.io/f2eka,,10.1016/j.antiviral.2014.06.013,
10.31219/osf.io/f2eka,,10.1016/j.virusres.2007.10.009,
10.31219/osf.io/f2eka,,10.1007/s13238-013-3096-8,
10.31219/osf.io/f2eka,,10.1016/j.tmaid.2014.06.007,
10.31219/osf.io/f2eka,,10.3390/diseases4030026 ,
10.31219/osf.io/f2eka,,10.1126/science.1087139 ,
10.31219/osf.io/f2eka,,10.1001/jama.2013.283495,
10.31219/osf.io/swqb8,,10.1525/9780520958197,
10.31219/osf.io/swqb8,,10.1017/s0016756800017453,
10.31219/osf.io/swqb8,,10.1007/978-3-642-65367-4,
10.31219/osf.io/swqb8,,10.1016/s1352-2310(99)00198-3,
10.31219/osf.io/swqb8,,10.1017/s0003598x00071787,
10.31234/osf.io/ye3ma,,10.31234/osf.io/wdbgc,
10.31235/osf.io/6yw9r,,10.31235/osf.io/dkusw,
10.31235/osf.io/6yw9r,,10.1093/esr/jcu096,
10.31235/osf.io/6yw9r,,10.31235/osf.io/7hpj9,
10.31235/osf.io/6yw9r,,10.4324/9780203360804 ,
10.31235/osf.io/6yw9r,,10.1111/pops.12025 ,
10.31235/osf.io/6yw9r,,10.1017/s0007123400008309 ,